,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,darkice1_0,Minecraft服务器「炉心工艺」服主 / Ingress Enlightened / 被压迫的铲屎官 / 啥都懂一点，啥都不精通,South China,225,61,534,150,"Join Crime Empires and create the most respected mafia in the world. Build your own mafia empire, Start a family and become the very best!

https://t.co/hcpQg7FB2v

#Free #Online #Game #BrowserGame #OnlineGame #Mobile #Browser #CrimeGame #Empire #MMO https://t.co/jrftypj8FT",[]
1,logodle,"6 squares. 1 Logo. 6 guesses. 1 reveal. LOGODLE. Daily logo game to share with friends. Starts April 2022. “It will stimulate your brain, or drive u insane”.",,12,8,203,0,"Not long now before we launch ?
Would u get todays #logodle ? #game #quiz #onlinequiz #game #onlinegame https://t.co/ewCSpIsgZa","['logodle', 'game', 'quiz', 'onlinequiz', 'game', 'onlinegame']"
2,PayalGoyal318,"My Home is my temple(˘⌣˘)
I love my family so much( ˘ ³˘)
Never Hurt Anybody(◕‿◕)
World is so beautiful(◠‿◕)","New Delhi, India",1180,162,9703,1,"Get your game on. The winner takes it all!

Comment the right answer and get to win real CASH. 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
#IndianPremierLeague #GIVEAWAY https://t.co/hB83yajJga",[]
3,RuslanIgonin,,,270,2,412,150,"Join Crime Empires and create the most respected mafia in the world. Build your own mafia empire, Start a family and become the very best!

https://t.co/hcpQg7FB2v

#Free #Online #Game #BrowserGame #OnlineGame #Mobile #Browser #CrimeGame #Empire #MMO https://t.co/jrftypj8FT",[]
4,MrRajput2212,Admin |Gadget Freak📱|Traveller🛩️Music Lover🎧 | Cricket Lover🏏| Foodie🍔| Gadget Freak📱| love only #stufflistingsarmy,"baghpat Uttar Pradesh, India",2064,483,42270,28,"It's IPL season! 🏏
And we are offering Giveaways for all! 🎁
Just comment the right answer and take real cash with
you! 💰💰

#sprintersonlinegames #fantasy #games #onlinegame
#dreamteam #prediction #cricket #IPL #IPL2022 #T20
#fantasycricket #winbig #fantasysports
 #GIVEAWAY https://t.co/E9R0KSzNj0",[]
5,mengyoudiguo,,,124,5,443,150,"Join Crime Empires and create the most respected mafia in the world. Build your own mafia empire, Start a family and become the very best!

https://t.co/hcpQg7FB2v

#Free #Online #Game #BrowserGame #OnlineGame #Mobile #Browser #CrimeGame #Empire #MMO https://t.co/jrftypj8FT",[]
6,ComelyGames,Comely games present you with many skill-based games that can make you real money. A platform where you can put your chilhood skills to use.,,0,6,533,0,"Download and answer simple questions to earn instant cash.
 Link https://t.co/8P2JHXTdjv

#comely #comelygames #gamer #gamerlife #PlayAndWin #win #Earn #EarnFromHome #play #online #games #onlinegame #earnonline #PlayAndEarn #playnow #makemoneyonline #gameapp #realgame https://t.co/MANx3EZiqQ","['comely', 'comelygames', 'gamer', 'gamerlife', 'PlayAndWin', 'win', 'Earn', 'EarnFromHome', 'play', 'online', 'games', 'onlinegame', 'earnonline', 'PlayAndEarn', 'playnow', 'makemoneyonline', 'gameapp', 'realgame']"
7,BrianGalbiati,,"Drums, PA",49,31,120,150,"Join Crime Empires and create the most respected mafia in the world. Build your own mafia empire, Start a family and become the very best!

https://t.co/hcpQg7FB2v

#Free #Online #Game #BrowserGame #OnlineGame #Mobile #Browser #CrimeGame #Empire #MMO https://t.co/jrftypj8FT",[]
8,parkchaung,,seoul,1826,63,13642,150,"Join Crime Empires and create the most respected mafia in the world. Build your own mafia empire, Start a family and become the very best!

https://t.co/hcpQg7FB2v

#Free #Online #Game #BrowserGame #OnlineGame #Mobile #Browser #CrimeGame #Empire #MMO https://t.co/jrftypj8FT",[]
9,gongzzzyyy,,,108,7,235,150,"Join Crime Empires and create the most respected mafia in the world. Build your own mafia empire, Start a family and become the very best!

https://t.co/hcpQg7FB2v

#Free #Online #Game #BrowserGame #OnlineGame #Mobile #Browser #CrimeGame #Empire #MMO https://t.co/jrftypj8FT",[]
